kind,project,local_path,id_or_uid,view_url,api_url,metadata_json,uploaded_at
video,added,interacting/cat_sign_language_communication_with_human.mp4,9656de767ff6497199d386b850be3c64,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/9656de767ff6497199d386b850be3c64/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/9656de767ff6497199d386b850be3c64,"{""project"": ""added"", ""source"": ""interacting/cat_sign_language_communication_with_human.mp4"", ""name"": ""cat_sign_language_communication_with_human.mp4""}",2025-08-09T19:45:25.794855+00:00
video,added,interacting/Goose joins in Namo Amitabha recitation session.mp4,e19ea45b6de949919d87cf5feeeb3e12,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/e19ea45b6de949919d87cf5feeeb3e12/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/e19ea45b6de949919d87cf5feeeb3e12,"{""project"": ""added"", ""source"": ""interacting/Goose joins in Namo Amitabha recitation session.mp4"", ""name"": ""Goose joins in Namo Amitabha recitation session.mp4""}",2025-08-09T19:45:26.502943+00:00
video,added,interacting/ChimpGuidingHuman.mp4,94d8f42fabd34c65ac71eb68113d8d4e,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/94d8f42fabd34c65ac71eb68113d8d4e/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/94d8f42fabd34c65ac71eb68113d8d4e,"{""project"": ""added"", ""source"": ""interacting/ChimpGuidingHuman.mp4"", ""name"": ""ChimpGuidingHuman.mp4""}",2025-08-09T19:45:26.538106+00:00
image,added,body_parts/BlackHeronUsingWingsPic.jpg,added-575756f9348dbd21787487c72f4f745337ee7c9e,https://imagedelivery.net/Ptcv2Ac6tnaI-eaT-OcsTQ/added-575756f9348dbd21787487c72f4f745337ee7c9e/public,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/images/v1/added-575756f9348dbd21787487c72f4f745337ee7c9e,"{""project"": ""added"", ""source"": ""body_parts/BlackHeronUsingWingsPic.jpg""}",2025-08-09T19:45:26.543162+00:00
image,added,body_parts/black_heron_wings_shadow.jpg,added-0cb0304a36a459554784cda91c0ea50358ce7a93,https://imagedelivery.net/Ptcv2Ac6tnaI-eaT-OcsTQ/added-0cb0304a36a459554784cda91c0ea50358ce7a93/public,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/images/v1/added-0cb0304a36a459554784cda91c0ea50358ce7a93,"{""project"": ""added"", ""source"": ""body_parts/black_heron_wings_shadow.jpg""}",2025-08-09T19:45:26.670155+00:00
image,added,bait/crocodile_with_twigs_as_bait.jpg,added-96c491838015ecfc182da28ea4703b0de2b7720b,https://imagedelivery.net/Ptcv2Ac6tnaI-eaT-OcsTQ/added-96c491838015ecfc182da28ea4703b0de2b7720b/public,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/images/v1/added-96c491838015ecfc182da28ea4703b0de2b7720b,"{""project"": ""added"", ""source"": ""bait/crocodile_with_twigs_as_bait.jpg""}",2025-08-09T19:45:30.793115+00:00
video,added,navigating_human_world/ElephantRecyclingBin.mp4,798d2c38cd6049f4b71ccfdd7d014390,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/798d2c38cd6049f4b71ccfdd7d014390/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/798d2c38cd6049f4b71ccfdd7d014390,"{""project"": ""added"", ""source"": ""navigating_human_world/ElephantRecyclingBin.mp4"", ""name"": ""ElephantRecyclingBin.mp4""}",2025-08-09T19:45:32.313269+00:00
video,added,funerals/black_vulture_funeral.mp4,cf78a333fac248e1994c3bc9de703027,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/cf78a333fac248e1994c3bc9de703027/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/cf78a333fac248e1994c3bc9de703027,"{""project"": ""added"", ""source"": ""funerals/black_vulture_funeral.mp4"", ""name"": ""black_vulture_funeral.mp4""}",2025-08-09T19:50:02.529818+00:00
video,added,interacting/bearded_dragon_waving.mp4,e1fb59f4ac9a41048ce779fc27259182,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/e1fb59f4ac9a41048ce779fc27259182/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/e1fb59f4ac9a41048ce779fc27259182,"{""project"": ""added"", ""source"": ""interacting/bearded_dragon_waving.mp4"", ""name"": ""bearded_dragon_waving.mp4""}",2025-08-09T19:50:06.773087+00:00
video,added,interacting/dog_using_sound_board.mp4,97395fecafa14cfcb1f4220ca18faf62,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/97395fecafa14cfcb1f4220ca18faf62/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/97395fecafa14cfcb1f4220ca18faf62,"{""project"": ""added"", ""source"": ""interacting/dog_using_sound_board.mp4"", ""name"": ""dog_using_sound_board.mp4""}",2025-08-09T19:50:07.527795+00:00
video,added,interacting/monkey_showing_how_to_crush_leaves.mp4,43917781ac2148078e050589d2a1a11d,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/43917781ac2148078e050589d2a1a11d/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/43917781ac2148078e050589d2a1a11d,"{""project"": ""added"", ""source"": ""interacting/monkey_showing_how_to_crush_leaves.mp4"", ""name"": ""monkey_showing_how_to_crush_leaves.mp4""}",2025-08-09T19:50:07.712288+00:00
image,added,mirrors/gif.gif,added-43fd554c1aed94bf9458399cea8dcd5418a6495b,https://imagedelivery.net/Ptcv2Ac6tnaI-eaT-OcsTQ/added-43fd554c1aed94bf9458399cea8dcd5418a6495b/public,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/images/v1/added-43fd554c1aed94bf9458399cea8dcd5418a6495b,"{""project"": ""added"", ""source"": ""mirrors/gif.gif""}",2025-08-09T19:50:11.932567+00:00
video,added,electronics/KittensWatchingSmartPhone.mp4,e9395520fb124426b7d43ed823b8b436,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/e9395520fb124426b7d43ed823b8b436/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/e9395520fb124426b7d43ed823b8b436,"{""project"": ""added"", ""source"": ""electronics/KittensWatchingSmartPhone.mp4"", ""name"": ""KittensWatchingSmartPhone.mp4""}",2025-08-09T19:57:45.545304+00:00
video,added,body_parts/BlackHeronUsingWings.mp4,cc7eb632b05d4116a2da4c872b32f2e8,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/cc7eb632b05d4116a2da4c872b32f2e8/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/cc7eb632b05d4116a2da4c872b32f2e8,"{""project"": ""added"", ""source"": ""body_parts/BlackHeronUsingWings.mp4"", ""name"": ""BlackHeronUsingWings.mp4""}",2025-08-09T19:57:46.418921+00:00
video,added,imitating_humans/dog_imitating_humans.mp4,0c26d63bf6d64c6aa3b6b99519c46acc,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/0c26d63bf6d64c6aa3b6b99519c46acc/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/0c26d63bf6d64c6aa3b6b99519c46acc,"{""project"": ""added"", ""source"": ""imitating_humans/dog_imitating_humans.mp4"", ""name"": ""dog_imitating_humans.mp4""}",2025-08-09T19:57:47.953190+00:00
video,added,electronics/gorilla_tender.mp4,b2b6239b704143068bfadce26e1cff09,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/b2b6239b704143068bfadce26e1cff09/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/b2b6239b704143068bfadce26e1cff09,"{""project"": ""added"", ""source"": ""electronics/gorilla_tender.mp4"", ""name"": ""gorilla_tender.mp4""}",2025-08-09T19:57:58.050952+00:00
video,added,electronics/sheep_recognizing_human_faces.mp4,b78b078261e842c2b837c87c9599b03d,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/b78b078261e842c2b837c87c9599b03d/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/b78b078261e842c2b837c87c9599b03d,"{""project"": ""added"", ""source"": ""electronics/sheep_recognizing_human_faces.mp4"", ""name"": ""sheep_recognizing_human_faces.mp4""}",2025-08-09T19:57:58.761971+00:00
video,added,electronics/CatWatchingIPad.mp4,df9b317b435c4e56b3d66669d89dc6ba,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/df9b317b435c4e56b3d66669d89dc6ba/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/df9b317b435c4e56b3d66669d89dc6ba,"{""project"": ""added"", ""source"": ""electronics/CatWatchingIPad.mp4"", ""name"": ""CatWatchingIPad.mp4""}",2025-08-09T19:57:59.804676+00:00
video,added,electronics/bird_using_smart_phone.mp4,35d5ff2e2fb74c728985dfb64146991a,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/35d5ff2e2fb74c728985dfb64146991a/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/35d5ff2e2fb74c728985dfb64146991a,"{""project"": ""added"", ""source"": ""electronics/bird_using_smart_phone.mp4"", ""name"": ""bird_using_smart_phone.mp4""}",2025-08-09T19:58:11.965590+00:00
video,added,electronics/dog_imitating_dog_on_tv.mp4,cec2d85c02f5451ab6e869dde0e5e249,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/cec2d85c02f5451ab6e869dde0e5e249/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/cec2d85c02f5451ab6e869dde0e5e249,"{""project"": ""added"", ""source"": ""electronics/dog_imitating_dog_on_tv.mp4"", ""name"": ""dog_imitating_dog_on_tv.mp4""}",2025-08-09T19:58:12.969781+00:00
video,added,electronics/dog_watching_tv.mp4,e9c065b066d0411b853d945eb6e8af6f,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/e9c065b066d0411b853d945eb6e8af6f/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/e9c065b066d0411b853d945eb6e8af6f,"{""project"": ""added"", ""source"": ""electronics/dog_watching_tv.mp4"", ""name"": ""dog_watching_tv.mp4""}",2025-08-09T19:58:15.624691+00:00
video,added,electronics/bird_with_tablet.mp4,1005592adcc0473dae070d6d40ffa85a,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/1005592adcc0473dae070d6d40ffa85a/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/1005592adcc0473dae070d6d40ffa85a,"{""project"": ""added"", ""source"": ""electronics/bird_with_tablet.mp4"", ""name"": ""bird_with_tablet.mp4""}",2025-08-09T19:58:44.306936+00:00
video,added,human_tools/cat_door_knocker.mp4,ea7b7ea92b7549c7a96a2d8af329f59e,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/ea7b7ea92b7549c7a96a2d8af329f59e/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/ea7b7ea92b7549c7a96a2d8af329f59e,"{""project"": ""added"", ""source"": ""human_tools/cat_door_knocker.mp4"", ""name"": ""cat_door_knocker.mp4""}",2025-08-09T19:58:44.399521+00:00
video,added,human_tools/dog_using_raft.mp4,f8a88dac50be4ac3a87c5e6279857551,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/f8a88dac50be4ac3a87c5e6279857551/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/f8a88dac50be4ac3a87c5e6279857551,"{""project"": ""added"", ""source"": ""human_tools/dog_using_raft.mp4"", ""name"": ""dog_using_raft.mp4""}",2025-08-09T19:58:46.718783+00:00
video,added,human_tools/chimp_attempting_lock.mp4,85664e24590649eab8ef87e920dc3437,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/85664e24590649eab8ef87e920dc3437/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/85664e24590649eab8ef87e920dc3437,"{""project"": ""added"", ""source"": ""human_tools/chimp_attempting_lock.mp4"", ""name"": ""chimp_attempting_lock.mp4""}",2025-08-09T19:58:49.231943+00:00
video,added,human_tools/CatUsingDoorKnocker.mp4,97d9b222a5f540ae9791f6984864290a,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/97d9b222a5f540ae9791f6984864290a/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/97d9b222a5f540ae9791f6984864290a,"{""project"": ""added"", ""source"": ""human_tools/CatUsingDoorKnocker.mp4"", ""name"": ""CatUsingDoorKnocker.mp4""}",2025-08-09T19:59:19.144265+00:00
video,added,human_tools/orangutan_canoing.mp4,7b82643ae7cf46189d661d9f7dcbae72,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/7b82643ae7cf46189d661d9f7dcbae72/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/7b82643ae7cf46189d661d9f7dcbae72,"{""project"": ""added"", ""source"": ""human_tools/orangutan_canoing.mp4"", ""name"": ""orangutan_canoing.mp4""}",2025-08-09T19:59:19.168337+00:00
video,added,human_tools/cow_undoing_human_cage.mp4,8ccb962469304fd2a4823d4a17e0d469,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/8ccb962469304fd2a4823d4a17e0d469/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/8ccb962469304fd2a4823d4a17e0d469,"{""project"": ""added"", ""source"": ""human_tools/cow_undoing_human_cage.mp4"", ""name"": ""cow_undoing_human_cage.mp4""}",2025-08-09T19:59:19.971690+00:00
video,added,human_tools/cat_turning_on_ac.mp4,5f762f90bc2641e199b8c854bac7ad57,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/5f762f90bc2641e199b8c854bac7ad57/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/5f762f90bc2641e199b8c854bac7ad57,"{""project"": ""added"", ""source"": ""human_tools/cat_turning_on_ac.mp4"", ""name"": ""cat_turning_on_ac.mp4""}",2025-08-09T20:00:13.258839+00:00
video,added,human_tools/OrangutanPaddlingBoatTrained.mp4,cec2d3e2e0e24b4e93fc0f829352b99b,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/cec2d3e2e0e24b4e93fc0f829352b99b/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/cec2d3e2e0e24b4e93fc0f829352b99b,"{""project"": ""added"", ""source"": ""human_tools/OrangutanPaddlingBoatTrained.mp4"", ""name"": ""OrangutanPaddlingBoatTrained.mp4""}",2025-08-09T20:00:13.530166+00:00
video,added,human_tools/koko_view-master.mp4,4b5deca0606941f9bdd118e11c89bb28,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/4b5deca0606941f9bdd118e11c89bb28/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/4b5deca0606941f9bdd118e11c89bb28,"{""project"": ""added"", ""source"": ""human_tools/koko_view-master.mp4"", ""name"": ""koko_view-master.mp4""}",2025-08-09T20:00:13.573540+00:00
video,added,human_tools/cat_drinking_from_container.mp4,80df388054a34345a84e7a26e129980b,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/80df388054a34345a84e7a26e129980b/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/80df388054a34345a84e7a26e129980b,"{""project"": ""added"", ""source"": ""human_tools/cat_drinking_from_container.mp4"", ""name"": ""cat_drinking_from_container.mp4""}",2025-08-09T20:00:14.917038+00:00
video,added,human_tools/orangutan_makes_hammock.mp4,3026d29880eb47b1a31e664550f04aa3,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/3026d29880eb47b1a31e664550f04aa3/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/3026d29880eb47b1a31e664550f04aa3,"{""project"": ""added"", ""source"": ""human_tools/orangutan_makes_hammock.mp4"", ""name"": ""orangutan_makes_hammock.mp4""}",2025-08-09T20:00:33.318152+00:00
video,added,human_tools/donkey_deconstructing_fence.mp4,73b7390aec0e4281b684f14bcbcb30ac,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/73b7390aec0e4281b684f14bcbcb30ac/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/73b7390aec0e4281b684f14bcbcb30ac,"{""project"": ""added"", ""source"": ""human_tools/donkey_deconstructing_fence.mp4"", ""name"": ""donkey_deconstructing_fence.mp4""}",2025-08-09T20:00:35.079815+00:00
